order_num_clean,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,total_cost,profit,profit_margin_clean,state,state_name,us_region,lat,lon,budget,order_year,order_quarter,quarter_label,order_month,order_month_name,order_month_num,is_weekend,gross_profit_ratio,cost_ratio,revenue_per_unit,profit_per_unit,revenue_tier,margin_tier,price_tier,customer_segment,budget_flag,budget_variance,budget_variance_pct
SO - 0000225,01-01-2014,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.6,1824.343,10946.058,4048.542,27,GA,Georgia,South,32.08354,-81.09983,,2014,1,Q1,2014-01,January,1,0,0.27,0.73,2499.1,674.76,Medium ($5K-$15K),Medium (26-40%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0003378,01-01-2014,Thoughtmix Ltd,Distributor,Product 20,11,2351.7,25868.7,1269.918,13969.098,11899.602,46,IN,Indiana,Midwest,39.61366,-86.10665,,2014,1,Q1,2014-01,January,1,0,0.46,0.54,2351.7,1081.78,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0005126,01-01-2014,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.2,684.74,4108.44,1760.76,30,CA,California,West,37.66243,-121.87468,,2014,1,Q1,2014-01,January,1,0,0.3,0.7,978.2,293.46,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0005614,01-01-2014,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.1,1028.852,7201.964,9166.136,56,IN,Indiana,Midwest,39.16533,-86.52639,,2014,1,Q1,2014-01,January,1,0,0.56,0.44,2338.3,1309.45,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0005781,01-01-2014,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.27,10082.16,8249.04,45,CT,Connecticut,Northeast,41.77524,-72.52443,,2014,1,Q1,2014-01,January,1,0,0.45,0.55,2291.4,1031.13,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0010394,01-01-2014,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,47652.209,9760.091,17,MN,Minnesota,Midwest,44.9133,-93.50329,,2014,1,Q1,2014-01,January,1,0,0.17,0.83,5219.3,887.28,Enterprise ($57K+),Low (<=25%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0008865,01-01-2014,Kare Corp,Wholesale,Product 1,7,2874.3,20120.1,1667.094,11669.658,8450.442,42,MA,Massachusetts,Northeast,42.32385,-71.142,,2014,1,Q1,2014-01,January,1,0,0.42,0.58,2874.3,1207.21,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0009909,01-01-2014,State Ltd,Wholesale,Product 25,10,1045.2,10452,679.38,6793.8,3658.2,35,CA,California,West,34.05529,-117.75228,,2014,1,Q1,2014-01,January,1,0,0.35,0.65,1045.2,365.82,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Top 20% (VIP),No Budget,,
SO - 0001912,01-01-2014,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,14832.125,4430.375,23,UT,Utah,West,40.56217,-111.92966,,2014,1,Q1,2014-01,January,1,0,0.23,0.77,3852.5,886.08,Large ($15K-$30K),Low (<=25%),High-End ($3K-$5K),Bottom 50% (Low),No Budget,,
SO - 0002683,01-01-2014,Zooveo Company,Export,Product 14,12,2914.5,34974,1311.525,15738.3,19235.7,55,NC,North Carolina,South,36.07613,-79.4683,,2014,1,Q1,2014-01,January,1,0,0.55,0.45,2914.5,1602.97,Very Large ($30K-$57K),High (41-55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0004272,01-01-2014,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.687,13163.557,11673.343,47,IN,Indiana,Midwest,39.11904,-86.51979,,2014,1,Q1,2014-01,January,1,0,0.47,0.53,2257.9,1061.21,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0004580,01-01-2014,Jayo Company,Export,Product 4,5,1232.8,6164,628.728,3143.64,3020.36,49,IL,Illinois,Midwest,41.76346,-88.2901,,2014,1,Q1,2014-01,January,1,0,0.49,0.51,1232.8,604.07,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Mid 30% (Regular),No Budget,,
SO - 0004646,01-01-2014,Jabbercube Corp,Wholesale,Product 25,5,3859.2,19296,2855.808,14279.04,5016.96,26,CA,California,West,33.72058,-116.21556,,2014,1,Q1,2014-01,January,1,0,0.26,0.74,3859.2,1003.39,Large ($15K-$30K),Medium (26-40%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
